1,"010 Cutter MT",5,108.00,56,237.6,S.R.:55,0,55,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
2,"010 GEM",31,153.03,60,1897.57,43434,0,84,"2021-06-09 20:37:00","2021-06-09 20:36:47",10
3,"011 Nipper/Cutter MT",10,128.00,56,563.2,S.R.:65,0,60,"2021-06-09 20:37:00","2021-06-09 20:36:47",15
4,"011 RIAT",17,173.00,62,1117.58,S.R.:100,50,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",100
5,"012 Cutter MT",2,188.00,56,165.44,S.R.:95,0,95,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
6,"012 GEM",18,176.00,62,1203.84,S.R.:95,0,100,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
7,"012 RIAT",1,176.00,62,66.88,S.R.:95,0,95,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
8,"012 SS Cutter MT",8,330.00,56,1161.6,S.R.:170,0,165,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
9,"013 GEM",21,186.00,62,1484.28,S.R.:100,0,100,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
10,"013 RIAT",6,186.00,62,424.08,S.R.:100,0,100,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
11,"014 GEM",10,208.00,62,790.4,S.R.:115,0,115,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
12,"014 RIAT",9,208.00,62,711.36,S.R.:115,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
13,"015 GEM",14,228.00,62,1212.96,S.R.:125,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
14,"015 RIAT",5,228.00,62,433.2,S.R.:125,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
15,"016 GEM",22,236.00,62,1972.96,S.R.:130,0,130,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
16,"017 RIAT",10,287.00,62,1090.6,S.R.:160,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
17,"018 GEM",32,310.00,63,3670.4,"Jagpal:155, Sale Price:170",45,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
18,"019 GEM",18,412.00,62,2818.08,"Sale Price:230",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
19,"02 DX Wire Stripper MT",8,365.00,56,1284.8,S.R.:190,0,165,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
20,"020 GEM",15,449.00,62,2559.3,S.R.:245,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
21,"020 RIAT",2,449.00,62,341.24,S.R.:245,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
22,"022 GEM",6,483.00,62,1101.24,"Sale Price:265",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
23,"024 RIAT",2,597.00,62,453.72,S.R.:330,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
24,"028 GEM",3,845.00,62,963.3,"Sale Price:465",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
25,"028 Lotus",3,845.00,62,963.3,"Sale Price:380",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
26,"032 GEM",4,1254.00,62,1906.08,"Sale Price:690",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
27,"04 GEM",17,93.00,62,600.78,S.R.:50,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
28,"04 RIAT",3,93.00,62,106.02,S.R.:50,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
29,"04 W/C GEM",5,104.00,62,197.6,S.R.:60,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
30,"05 GEM",16,96.00,62,583.68,S.R.:55,0,55,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
31,"05 W/C Close GEM",4,117.00,62,177.84,S.R.:65,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
